component	version_or_release	source
Bowtie2	2.5.5	https://bowtie-bio.sourceforge.net/bowtie2/manual.shtml
MACS3	3.0.4	https://macs3-project.github.io/MACS/docs/callpeak.html
SEACR	1.3	https://github.com/FredHutch/SEACR
deepTools	3.5.6	https://deeptools.readthedocs.io/en/develop/content/tools/bamCoverage.html
nf-core/cutandrun	3.2.2	https://nf-co.re/cutandrun/latest/docs/usage/
DESeq2	1.52.0	https://bioconductor.org/packages/release/bioc/vignettes/DESeq2/inst/doc/DESeq2.html
DiffBind	3.22.2	https://bioconductor.org/packages/release/bioc/html/DiffBind.html
